部门名称,简称,所属区域,地址,邮编,电话,传真,网站,工作时间,级别,类别
上海市人民政府,市政府,,上海市黄浦区人民大道200号,200003,021-23111111,021-63582606,https://www.shanghai.gov.cn,周一至周五 9:00-17:00,市级,核心机关
上海市人民政府办公厅,市政府办公厅,,上海市黄浦区人民大道200号,200003,021-63582606,021-38429688转1303,https://www.shanghai.gov.cn,9:00-18:00（节假日除外）,市级,核心机关
上海市发展和改革委员会,市发改委,,上海市黄浦区人民大道200号,200003,021-23111111,,https://fgw.sh.gov.cn,周一至周五 9:00-17:00,市级,经济发展
上海市经济和信息化委员会,市经信委,,上海市浦东新区世博村路300号5号楼,200125,021-23119342,021-23119364,https://sheitc.sh.gov.cn,周一至周五 9:00-17:30,市级,经济发展
上海市商务委员会,市商务委,,上海市浦东新区世博村路300号7号楼,200125,021-23111111,,https://sww.sh.gov.cn,周一至周五 9:00-18:00（法定节假日除外）,市级,经济发展
上海市科学技术委员会,市科委,,上海市黄浦区人民大道200号,200003,021-63584453,021-63584447,https://stcsm.sh.gov.cn,周一至周五 9:00-17:00,市级,科技发展
上海市财政局,市财政局,,上海市黄浦区肇嘉浜路800号,200030,021-54679568,,https://cj.sh.gov.cn,周一至周五 9:00-17:00,市级,财政税务
上海市人力资源和社会保障局,市人社局,,上海市浦东新区世博村路300号2号楼,200125,021-12333,,https://rsj.sh.gov.cn,周一至周五 9:00-17:00,市级,社会保障
上海市住房和城乡建设管理委员会,市住建委,,上海市黄浦区大沽路100号,200003,021-23111111,,https://zjw.sh.gov.cn,周一至周五 9:00-17:00,市级,城市建设
上海市交通委员会,市交通委,,上海市浦东新区世博村路300号1号楼,200125,021-23111111,,https://jtw.sh.gov.cn,周一至周五 9:00-17:00,市级,交通运输
上海市公安局,市公安局,,上海市静安区武宁南路128号,200042,021-62310110,,https://gaj.sh.gov.cn,24小时,市级,公共安全
上海市司法局,市司法局,,上海市徐汇区建国西路648号,200031,021-24079000,,https://sfj.sh.gov.cn,周一至周五 9:00-17:00,市级,司法行政
上海市市场监督管理局,市市场监管局,,上海市徐汇区肇嘉浜路301号,200032,021-64220000,,https://scjgj.sh.gov.cn,周一至周五 9:00-17:00,市级,市场监管
上海市教育委员会,市教委,,上海市黄浦区大沽路100号,200003,021-23111111,,https://edu.sh.gov.cn,周一至周五 9:00-17:00,市级,教育文化
上海市卫生健康委员会,市卫健委,,上海市浦东新区世博村路300号4号楼,200125,021-23111111,,https://wsjkw.sh.gov.cn,周一至周五 9:00-17:00,市级,卫生健康
上海市规划和自然资源局,市规划资源局,,上海市黄浦区北京西路99号,200003,021-23111111,,https://ghzyj.sh.gov.cn,周一至周五 9:00-17:00,市级,规划资源
上海市生态环境局,市生态环境局,,上海市黄浦区大沽路100号,200003,021-23111111,,https://sthj.sh.gov.cn,周一至周五 9:00-17:00,市级,生态环境
上海市农业农村委员会,市农业农村委,,上海市黄浦区大沽路100号,200003,021-23111111,,https://nyncw.sh.gov.cn,周一至周五 9:00-17:00,市级,农业农村
上海市水务局,市水务局,,上海市黄浦区江苏路389号,200050,021-52398500,,https://swj.sh.gov.cn,周一至周五 9:00-17:00,市级,水务海洋
上海市文化和旅游局,市文旅局,,上海市浦东新区世博村路300号8号楼,200125,021-23111111,,https://whlyj.sh.gov.cn,周一至周五 9:00-17:00,市级,教育文化
上海市应急管理局,市应急局,,上海市浦东新区世博村路300号7号楼,200125,021-23111111,,https://yjglj.sh.gov.cn,24小时值班,市级,应急管理
上海市审计局,市审计局,,上海市黄浦区陆家浜路1388号,200011,021-63138600,,https://sj.sh.gov.cn,周一至周五 9:00-17:00,市级,审计监督
上海市统计局,市统计局,,上海市黄浦区威海路48号,200041,021-53857070,,https://tjj.sh.gov.cn,周一至周五 9:00-17:00,市级,统计调查
上海市医疗保障局,市医保局,,上海市浦东新区世博村路300号4号楼,200125,021-12393,,https://ybj.sh.gov.cn,周一至周五 9:00-17:00,市级,社会保障
上海市地方金融监督管理局,市地方金融监管局,,上海市浦东新区世博村路300号10号楼,200125,021-23111111,,https://jrj.sh.gov.cn,周一至周五 9:00-17:00,市级,金融管理
上海市国有资产监督管理委员会,市国资委,,上海市黄浦区大沽路100号,200003,021-23111111,,https://gzw.sh.gov.cn,周一至周五 9:00-17:00,市级,国资监管
上海市体育局,市体育局,,上海市浦东新区世博村路300号8号楼,200125,021-23111111,,https://tyj.sh.gov.cn,周一至周五 9:00-17:00,市级,体育健身
上海市绿化和市容管理局,市绿化市容局,,上海市黄浦区人民大道200号,200003,021-23111111,,https://lhsr.sh.gov.cn,周一至周五 9:00-17:00,市级,绿化市容
上海市房屋管理局,市房屋管理局,,上海市浦东新区世博村路300号7号楼,200125,021-23111111,,https://fgj.sh.gov.cn,周一至周五 9:00-17:00,市级,住房保障
上海市民族和宗教事务局,市民宗局,,上海市黄浦区世博村路300号3号楼,200125,021-23111111,,https://mzzj.sh.gov.cn,周一至周五 9:00-17:00,市级,民族宗教
上海市人民政府外事办公室,市外办,,上海市黄浦区人民大道200号,200003,021-23111111,,https://wb.sh.gov.cn,周一至周五 9:00-17:00,市级,外事侨务
上海市人民政府合作交流办公室,市合作交流办,,上海市浦东新区世博村路300号10号楼,200125,021-23111111,,https://hzjl.sh.gov.cn,周一至周五 9:00-17:00,市级,合作交流
上海市机关事务管理局,市机管局,,上海市黄浦区人民大道200号,200003,021-23111111,,https://jgswj.sh.gov.cn,周一至周五 9:00-17:00,市级,机关事务
上海市国防动员办公室,市国动办,,上海市浦东新区世博村路300号9号楼,200125,021-23111111,,https://gfb.sh.gov.cn,周一至周五 9:00-17:00,市级,国防动员
上海市数据局,市数据局,,上海市浦东新区世博村路300号10号楼,200125,021-23111111,,https://sj.sh.gov.cn,周一至周五 9:00-17:00,市级,数据管理
上海市浦东新区人民政府,浦东新区政府,,上海市浦东新区世纪大道2001号,200135,021-58788388,,https://www.pudong.gov.cn,周一至周五 9:00-17:00,区级,区级政府
上海市黄浦区人民政府,黄浦区政府,,上海市黄浦区延安东路300号,200001,021-33134800,,https://www.shhuangpu.gov.cn,周一至周五 8:30-17:30,区级,区级政府
上海市静安区人民政府,静安区政府,,上海市静安区常德路370号,200040,021-22304306,021-62892977,https://www.jingan.gov.cn,"周一至周五 8:30-11:30, 13:30-17:30",区级,区级政府
上海市徐汇区人民政府,徐汇区政府,,上海市徐汇区漕溪北路336号,200030,021-64872222,,https://www.xuhui.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市长宁区人民政府,长宁区政府,,上海市长宁区长宁路599号,200050,021-22050000,,https://www.shcn.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市普陀区人民政府,普陀区政府,,上海市普陀区大渡河路1668号,200333,021-52564588,,https://www.putuo.gov.cn,"周一至周五 8:30-12:00, 13:30-17:30",区级,区级政府
上海市虹口区人民政府,虹口区政府,,上海市虹口区飞虹路518号,200086,021-25015553,,https://www.shhk.gov.cn,周一至周五 8:30-17:30,区级,区级政府
上海市杨浦区人民政府,杨浦区政府,,上海市杨浦区榆林路707号,200082,021-25032621,,https://www.shyp.gov.cn,周一至周五 8:30-17:30,区级,区级政府
上海市宝山区人民政府,宝山区政府,,上海市宝山区密山路5号,201900,021-66786319,,https://www.bsq.sh.gov.cn,"周一至周五 8:30-11:30, 13:30-17:00",区级,区级政府
上海市闵行区人民政府,闵行区政府,,上海市闵行区沪闵路6558号,201199,021-34202696,,https://www.shmh.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市嘉定区人民政府,嘉定区政府,,上海市嘉定区博乐南路111号,201800,021-69989822,,https://www.jiading.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市金山区人民政府,金山区政府,,上海市金山区金山大道2000号,200540,021-57921750,,https://www.jsq.sh.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市松江区人民政府,松江区政府,,上海市松江区人民北路3456号,201620,021-37737383,,https://www.songjiang.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市青浦区人民政府,青浦区政府,,上海市青浦区公园路100号,201700,021-59861128,,https://www.shqp.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市奉贤区人民政府,奉贤区政府,,上海市奉贤区南桥镇解放东路928号,201499,021-37565721,,https://www.fengxian.gov.cn,"周一至周五 8:30-11:30, 13:30-17:30",区级,区级政府
上海市崇明区人民政府,崇明区政府,,上海市崇明区城桥镇人民路68号,202150,021-59611239,,https://www.cmx.gov.cn,周一至周五 8:30-17:00,区级,区级政府
上海市人民政府研究室,市政府研究室,,上海市黄浦区人民大道200号,200003,021-23111111,,https://www.shanghai.gov.cn,,市级,核心机关
上海市人民政府发展研究中心,市政府发展研究中心,,上海市黄浦区人民大道200号,200003,021-23111111,,https://www.shanghai.gov.cn,,市级,核心机关
上海市档案局,市档案局,,上海市浦东新区世博村路300号,200125,021-23111111,,https://www.shanghai.gov.cn,,市级,核心机关
上海市人民政府新闻办公室,市政府新闻办,,上海市黄浦区人民大道200号,200003,021-23111111,,https://www.shanghai.gov.cn,,市级,核心机关
上海市信访办公室,市信访办,,上海市黄浦区人民大道200号,200003,021-23111111,,https://www.shanghai.gov.cn,,市级,核心机关
上海市粮食和物资储备局,市粮食和物资储备局,,上海市黄浦区人民大道200号,200003,021-23111111,,https://lswz.sh.gov.cn,,市级,经济管理
上海市中小企业发展服务中心,市中小企业服务中心,,上海市浦东新区世博村路300号,200125,021-12345,,https://sme.sh.gov.cn,,市级,企业服务
上海市投资促进服务中心,市投资促进服务中心,,上海市浦东新区世博村路300号,200125,021-12345,,https://invest.sh.gov.cn,,市级,企业服务
上海市知识产权局,市知识产权局,,上海市浦东新区世博村路300号,200125,021-12345,,https://sipa.sh.gov.cn,,市级,市场监管
上海市药品监督管理局,市药监局,,上海市徐汇区宜山路728号,200233,021-12345,,https://yjj.sh.gov.cn,,市级,市场监管
上海市社会组织管理局,市社会组织管理局,,上海市浦东新区世博村路300号,200125,021-12345,,https://mzj.sh.gov.cn,,市级,民政管理
上海市社会信用促进中心,市社会信用促进中心,,上海市浦东新区世博村路300号,200125,021-12345,,https://credit.sh.gov.cn,,市级,信用管理
上海市大数据中心,市大数据中心,,上海市浦东新区世博村路300号,200125,021-12345,,https://www.shanghai.gov.cn,,市级,数据管理
上海市城市运行管理中心,市城运中心,,上海市浦东新区世博村路300号,200125,021-12345,,https://www.shanghai.gov.cn,,市级,城市管理
上海市消防救援总队,市消防救援总队,,上海市长宁区中山西路229号,200051,021-28955119,,https://xf.sh.gov.cn,,市级,应急管理
上海市税务局,市税务局,,上海市徐汇区肇嘉浜路800号,200030,021-12366,,https://shanghai.chinatax.gov.cn,,市级,财政税务
上海海关,上海海关,,上海市浦东新区陆家嘴西路153号,200120,021-68890000,,http://shanghai.customs.gov.cn,,市级,海关监管
上海市邮政管理局,市邮政管理局,,上海市虹口区北苏州路276号,200085,021-63533660,,http://sh.spb.gov.cn,,市级,交通运输
上海市通信管理局,市通信管理局,,上海市黄浦区中山南路508号,200010,021-63900000,,http://shca.miit.gov.cn,,市级,通信管理
上海市气象局,市气象局,,上海市徐汇区蒲西路166号,200030,021-64380000,,http://sh.cma.gov.cn,,市级,气象服务
上海市地震局,市地震局,,上海市静安区兰溪路87号,200062,021-62558888,,http://sh.eq.gov.cn,,市级,地震应急
上海市浦东新区区政府办公室,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,核心机关
上海市浦东新区区发展和改革委员会,浦东新区发改委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,经济发展
上海市浦东新区区经济委员会,浦东新区经委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,经济发展
上海市浦东新区区商务委员会,浦东新区商务委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,经济发展
上海市浦东新区区农业农村委员会,浦东新区农业农村委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,农业农村
上海市浦东新区区建设和管理委员会,浦东新区建管委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,城市建设
上海市浦东新区区科学技术委员会,浦东新区科委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,科技发展
上海市浦东新区区国有资产监督管理委员会,浦东新区国资委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,国资监管
上海市浦东新区区司法局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,司法行政
上海市浦东新区区人力资源和社会保障局,浦东新区人社局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,社会保障
上海市浦东新区区民政局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,民政管理
上海市浦东新区区财政局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,财政税务
上海市浦东新区区审计局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,审计监督
上海市浦东新区区统计局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,统计调查
上海市浦东新区区教育局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,教育文化
上海市浦东新区区卫生健康委员会,浦东新区卫健委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,卫生健康
上海市浦东新区区文化和旅游局,浦东新区文旅局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,教育文化
上海市浦东新区区体育局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,体育健身
上海市浦东新区区绿化和市容管理局,浦东新区绿化市容局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,绿化市容
上海市浦东新区区生态环境局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,生态环境
上海市浦东新区区规划和自然资源局,浦东新区规划资源局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,规划资源
上海市浦东新区区住房保障和房屋管理局,浦东新区房管局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,住房保障
上海市浦东新区区水务局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,水务海洋
上海市浦东新区区民防办公室,浦东新区民防办,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,国防动员
上海市浦东新区区应急管理局,浦东新区应急局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,应急管理
上海市浦东新区区市场监督管理局,浦东新区市场监管局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,市场监管
上海市浦东新区区城市管理行政执法局,浦东新区城管执法局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,城市管理
上海市浦东新区区机关事务管理局,浦东新区机管局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,机关事务
上海市浦东新区区退役军人事务局,,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,退役军人
上海市浦东新区区医疗保障局,浦东新区医保局,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,社会保障
上海市浦东新区区交通委员会,浦东新区交通委,浦东新区,上海市浦东新区世纪大道2001号,,021-115XXXXX,,,,区级,交通运输
上海市黄浦区区政府办公室,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,核心机关
上海市黄浦区区发展和改革委员会,黄浦区发改委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,经济发展
上海市黄浦区区经济委员会,黄浦区经委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,经济发展
上海市黄浦区区商务委员会,黄浦区商务委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,经济发展
上海市黄浦区区农业农村委员会,黄浦区农业农村委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,农业农村
上海市黄浦区区建设和管理委员会,黄浦区建管委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,城市建设
上海市黄浦区区科学技术委员会,黄浦区科委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,科技发展
上海市黄浦区区国有资产监督管理委员会,黄浦区国资委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,国资监管
上海市黄浦区区司法局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,司法行政
上海市黄浦区区人力资源和社会保障局,黄浦区人社局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,社会保障
上海市黄浦区区民政局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,民政管理
上海市黄浦区区财政局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,财政税务
上海市黄浦区区审计局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,审计监督
上海市黄浦区区统计局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,统计调查
上海市黄浦区区教育局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,教育文化
上海市黄浦区区卫生健康委员会,黄浦区卫健委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,卫生健康
上海市黄浦区区文化和旅游局,黄浦区文旅局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,教育文化
上海市黄浦区区体育局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,体育健身
上海市黄浦区区绿化和市容管理局,黄浦区绿化市容局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,绿化市容
上海市黄浦区区生态环境局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,生态环境
上海市黄浦区区规划和自然资源局,黄浦区规划资源局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,规划资源
上海市黄浦区区住房保障和房屋管理局,黄浦区房管局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,住房保障
上海市黄浦区区水务局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,水务海洋
上海市黄浦区区民防办公室,黄浦区民防办,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,国防动员
上海市黄浦区区应急管理局,黄浦区应急局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,应急管理
上海市黄浦区区市场监督管理局,黄浦区市场监管局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,市场监管
上海市黄浦区区城市管理行政执法局,黄浦区城管执法局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,城市管理
上海市黄浦区区机关事务管理局,黄浦区机管局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,机关事务
上海市黄浦区区退役军人事务局,,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,退役军人
上海市黄浦区区医疗保障局,黄浦区医保局,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,社会保障
上海市黄浦区区交通委员会,黄浦区交通委,黄浦区,上海市黄浦区延安东路300号,,021-101XXXXX,,,,区级,交通运输
上海市静安区区政府办公室,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,核心机关
上海市静安区区发展和改革委员会,静安区发改委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,经济发展
上海市静安区区经济委员会,静安区经委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,经济发展
上海市静安区区商务委员会,静安区商务委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,经济发展
上海市静安区区农业农村委员会,静安区农业农村委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,农业农村
上海市静安区区建设和管理委员会,静安区建管委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,城市建设
上海市静安区区科学技术委员会,静安区科委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,科技发展
上海市静安区区国有资产监督管理委员会,静安区国资委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,国资监管
上海市静安区区司法局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,司法行政
上海市静安区区人力资源和社会保障局,静安区人社局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,社会保障
上海市静安区区民政局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,民政管理
上海市静安区区财政局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,财政税务
上海市静安区区审计局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,审计监督
上海市静安区区统计局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,统计调查
上海市静安区区教育局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,教育文化
上海市静安区区卫生健康委员会,静安区卫健委,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,卫生健康
上海市静安区区文化和旅游局,静安区文旅局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,教育文化
上海市静安区区体育局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,体育健身
上海市静安区区绿化和市容管理局,静安区绿化市容局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,绿化市容
上海市静安区区生态环境局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,生态环境
上海市静安区区规划和自然资源局,静安区规划资源局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,规划资源
上海市静安区区住房保障和房屋管理局,静安区房管局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,住房保障
上海市静安区区水务局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,水务海洋
上海市静安区区民防办公室,静安区民防办,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,国防动员
上海市静安区区应急管理局,静安区应急局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,应急管理
上海市静安区区市场监督管理局,静安区市场监管局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,市场监管
上海市静安区区城市管理行政执法局,静安区城管执法局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,城市管理
上海市静安区区机关事务管理局,静安区机管局,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,机关事务
上海市静安区区退役军人事务局,,静安区,上海市静安区常德路370号,,021-106XXXXX,,,,区级,退役军人
